%OpenBCI Raw EXG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
13.0, -109848.11751224012, -130125.28480592786, -183904.83366308614, -185715.14615001038, -184802.01033377773, -129099.18327321808, -156272.46722846833, -183919.13877953755, 0.012, 0.062, 0.982, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.738881428830851E9, 0.0, 2025-02-06 17:37:08.830
14.0, -109931.22129812495, -130193.61408872773, -183835.05151689667, -185649.5661317785, -184741.61592025947, -129221.51437062197, -156454.18691088998, -183916.27775624726, 0.012, 0.062, 0.982, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.738881428835848E9, 0.0, 2025-02-06 17:37:08.835
15.0, -110006.2114007725, -130252.08625222281, -183821.46165626784, -185577.48175591015, -184673.71132060426, -129333.76483127652, -156623.85900305022, -184066.57088596476, 0.012, 0.062, 0.982, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.738881428840851E9, 0.0, 2025-02-06 17:37:08.840
16.0, -110079.30160514136, -130310.37960176225, -183903.85018633012, -185504.25744107456, -184604.21974709272, -129443.86952446337, -156792.2123422876, -184214.4723790255, 0.012, 0.062, 0.982, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.738881428843837E9, 0.0, 2025-02-06 17:37:08.843
17.0, -110159.58907122482, -130375.35612289383, -183856.10686017358, -185437.69394608666, -184541.07606900646, -129561.55145902056, -156970.82513222995, -184449.4339167397, 0.012, 0.062, 0.982, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.738881428847847E9, 0.0, 2025-02-06 17:37:08.847
18.0, -110249.44308393516, -130449.20628657418, -183796.5841646891, -185377.9477331576, -184486.4484055577, -129687.74940821523, -157165.82175085804, -184749.43903081884, 0.014, 0.062, 0.982, 192.0, 0.0, 112.0, 1.0, 240.0, 30.0, 176.0, 0.0, 0.0, 0.0, 1.738881428851872E9, 0.0, 2025-02-06 17:37:08.851
19.0, -110338.80535826748, -130524.68812759974, -183857.15739216298, -185318.3356306953, -184431.59722466438, -129816.16018011096, -157367.32272712264, -184742.06295514858, 0.014, 0.062, 0.982, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.73888142885587E9, 0.0, 2025-02-06 17:37:08.855
20.0, -110434.5155280251, -130606.24964311716, -183887.3545989221, -185264.51263004693, -184376.9695612156, -129951.7235102324, -157576.93738662452, -184688.61993415595, 0.014, 0.062, 0.982, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.738881428859933E9, 0.0, 2025-02-06 17:37:08.859
21.0, -110532.77379665062, -130689.73340865773, -183834.4480197964, -185212.03073406586, -184156.89428530863, -130086.63863976463, -157789.03308976092, -184636.49566608618, 0.014, 0.062, 0.982, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.738881428863905E9, 0.0, 2025-02-06 17:37:08.863
22.0, -110620.34793142653, -130761.37074963699, -183774.12066151152, -185150.38462285814, -183976.53805929876, -130195.46928351752, -157988.81298170245, -184574.78249964508, 0.014, 0.062, 0.982, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.738881428867924E9, 0.0, 2025-02-06 17:37:08.867
23.0, -110695.98623466329, -130820.66992767692, -183831.9446244174, -185077.92026733403, -184082.7982524393, -130287.58082241785, -158175.89708279338, -184503.18986215472, 0.014, 0.062, 0.982, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.738881428870953E9, 0.0, 2025-02-06 17:37:08.870
24.0, -110777.27952924723, -130886.92049824244, -183856.30802587367, -185010.79797873474, -184213.10892261376, -130382.3745706528, -158369.50789326525, -184436.31344274443, 0.014, 0.062, 0.982, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.738881428874952E9, 0.0, 2025-02-06 17:37:08.874
25.0, -110860.24920466534, -130956.50147873182, -183788.5822401741, -184945.73205062535, -184345.09597362234, -130478.95645844418, -158564.39275317107, -184371.49338382404, 0.014, 0.062, 0.982, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.738881428879971E9, 0.0, 2025-02-06 17:37:08.879
26.0, -110938.56971723674, -131018.30405215074, -183780.46855693683, -184875.94990443587, -184469.86341117186, -130571.76090142262, -158754.76256069692, -184300.995981812, 0.014, 0.062, 0.982, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.738881428884006E9, 0.0, 2025-02-06 17:37:08.884
27.0, -111017.18080248605, -131080.44190173649, -183841.91350244445, -184806.74890360225, -184598.81062493453, -130665.25824847916, -158946.69699033463, -184231.61616702273, 0.014, 0.062, 0.982, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.738881428888024E9, 0.0, 2025-02-06 17:37:08.888
28.0, -111104.79964075085, -131152.01218748238, -183792.06911230914, -184745.37101332797, -184891.46201508786, -130771.09375847505, -159145.13577760887, -184171.3335122268, 0.012, 0.062, 0.982, 192.0, 0.0, 96.0, 1.0, 240.0, 30.0, 176.0, 0.0, 0.0, 0.0, 1.738881428892043E9, 0.0, 2025-02-06 17:37:08.892
29.0, -111198.20758082958, -131231.40558378765, -183750.9195507669, -184689.67046614536, -185177.07260573778, -130897.89520477, -159349.69894286382, -184111.72140976446, 0.012, 0.062, 0.982, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.738881428895051E9, 0.0, 2025-02-06 17:37:08.895
30.0, -111284.35120396034, -131304.7863608344, -183823.7415342023, -184628.6278520379, -185145.1990181445, -131025.12133420962, -159545.1649481255, -183913.32732597916, 0.012, 0.062, 0.982, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.738881428899106E9, 0.0, 2025-02-06 17:37:08.899
