%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
0.0, 45138.856189114595, 93364.04125261799, -20476.4330955068, -14826.31442860537, -888.5265455873664, 7520.400884199248, -23070.330687800728, -77450.40386323976, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.095, 0.289, 0.338, 192.0, 125.0, 8.0, 9.0, 8.0, 10.5, 16.0, 0.0, 0.0, 0.0, 1.738712567473953E9, 0.0, 2025-02-04 18:42:47.473
2.0, 90117.53977746246, 186732.93283378278, -41297.50773876998, -29859.226031211143, -1936.4657326299828, 14915.90022038224, -46470.05903363932, -154894.23631360964, -109561.76931402319, -70458.3311627306, -150392.77379426645, -150304.64086587916, -150365.45996254205, -150338.8390348958, -150374.62417776874, -150352.27243331342, -0.095, 0.289, 0.338, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.738712567482974E9, 0.0, 2025-02-04 18:42:47.482
4.0, 89902.9183272026, 186736.71027859574, -41760.21120073929, -30138.891057835946, -2152.85297070181, 14748.30684045635, -46913.42823665479, -154882.76986870408, -109891.72576567243, -70753.46359651847, -150390.96330296557, -150302.94213330056, -150363.738878219, -150337.00619185047, -150372.76898297895, -150350.55134899038, -0.095, 0.289, 0.338, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.738712567490019E9, 0.0, 2025-02-04 18:42:47.490
6.0, 89685.48055714137, 186740.8229995755, -42225.038078431855, -30419.181933305495, -2370.670720418778, 14578.612396551658, -47356.57392222571, -154871.63869996532, -110233.41688316071, -71054.9215739872, -150388.77283200895, -150300.7293105995, -150361.5037037735, -150334.81572089385, -150370.55616027786, -150348.3832297782, -0.095, 0.289, 0.338, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.738712567498092E9, 0.0, 2025-02-04 18:42:47.498
8.0, 89471.77552840419, 186743.21463623224, -42686.221621778204, -30697.438800029613, -2587.6391038464435, 14407.688606701924, -47790.95772397015, -154858.8982056258, -110575.91266344937, -71360.98401081371, -150386.2470848855, -150298.15885998713, -150358.97795665002, -150332.15586330366, -150368.11982013224, -150345.8351309103, -0.12, 0.432, 0.72, 192.0, 126.0, 32.0, 6.5, 64.0, 11.0, 64.0, 0.0, 0.0, 0.0, 1.738712567506117E9, 0.0, 2025-02-04 18:42:47.506
10.0, 89259.18808688976, 186748.0202612901, -43148.79097328079, -30975.293335353537, -2805.5462605412317, 14235.15549125141, -48222.72637161331, -154848.37053398736, -110915.92740010351, -71669.28162208576, -150383.85544822877, -150295.74487158595, -150356.4522095266, -150329.74187490248, -150365.6387764977, -150343.35408727577, -0.12, 0.432, 0.72, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.738712567515171E9, 0.0, 2025-02-04 18:42:47.515
12.0, 89045.32659594138, 186750.85893283595, -43613.90842365127, -31256.05359745665, -3025.152149814624, 14063.20352115673, -48659.39005129219, -154835.98766755912, -111262.42414264967, -71977.46747463554, -150382.17906739464, -150293.95673202953, -150354.7311252035, -150328.02079057944, -150363.9400439191, -150341.70005818608, -0.12, 0.432, 0.72, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.738712567522204E9, 0.0, 2025-02-04 18:42:47.522
14.0, 88833.85674164972, 186755.2175230047, -44074.93550478644, -31534.95866476997, -3242.8581408093146, 13892.860876662837, -49094.64557107039, -154825.28118196502, -111611.82661197503, -72287.68733593075, -150380.23446562703, -150292.1238889842, -150352.76417169144, -150326.18794753408, -150362.1519043627, -150339.84486339628, -0.12, 0.432, 0.72, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.738712567530249E9, 0.0, 2025-02-04 18:42:47.530
16.0, 88622.27512863578, 186759.8890375959, -44536.29786208843, -31813.662566383195, -3457.63605328036, 13724.015799047447, -49525.542500679796, -154814.82056555993, -111956.95989810943, -72597.50486582576, -150378.11104990376, -150290.0228250054, -150350.730162946, -150324.08688355528, -150360.0955438728, -150337.72144767302, -0.12, 0.432, 0.72, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.738712567538302E9, 0.0, 2025-02-04 18:42:47.538
18.0, 88411.69934412233, 186765.16404928733, -44999.448358946844, -32094.087552319477, -3672.8386488960564, 13553.58374757573, -49957.914645423254, -154804.80698404397, -112300.21563770958, -72904.21550324149, -150378.87100921525, -150290.8274878058, -150351.40071527968, -150324.69038065558, -150360.743744462, -150338.45905524006, -0.074, 0.34600000000000003, 0.842, 192.0, 126.5, 88.0, 5.0, 104.0, 13.0, 40.0, 0.0, 0.0, 0.0, 1.738712567546327E9, 0.0, 2025-02-04 18:42:47.546
20.0, 88199.35777179692, 186767.1310027994, -45466.1304314292, -32377.820596435144, -3891.014026524309, 13382.727012959363, -50393.63955183501, -154791.66415830425, -112644.76777848814, -73213.98832964759, -150375.4958958025, -150287.4300226486, -150348.04795361139, -150321.29291549837, -150357.32392756033, -150335.0392383384, -0.074, 0.34600000000000003, 0.842, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.738712567554408E9, 0.0, 2025-02-04 18:42:47.554
22.0, 87986.32329539339, 186772.2942557686, -45930.82319865504, -32659.541983549832, -4111.357523364726, 13211.84792659854, -50830.996135592, -154781.69528027717, -112992.7173844239, -73523.82821128705, -150373.50659054596, -150285.50777262542, -150346.10335184378, -150319.2812584974, -150355.4016775372, -150332.96052610406, -0.074, 0.34600000000000003, 0.842, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.738712567562435E9, 0.0, 2025-02-04 18:42:47.562
